gloss,video_id,url
book,A69241,http://aslbricks.org/New/ASL-Videos/book.mp4
book,A07069,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4
book,A07068,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4
book,A07070,https://media.asldeafined.com/vocabulary/1466684225.687.mp4
book,A07099,http://www.aslsearch.com/signs/videos/book.mp4
book,A07074,https://www.signingsavvy.com/signs/mp4/14/14326.mp4
drink,A69302,http://aslbricks.org/New/ASL-Videos/drink.mp4
drink,A65539,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4
drink,A17710,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4
drink,A17733,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4
drink,A65540,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4
drink,A17734,http://www.aslsearch.com/signs/videos/drink.mp4
drink,A17711,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4
drink,A17712,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4
drink,A17713,https://media.asldeafined.com/vocabulary/1467773819.9825.mp4
drink,A17709,https://media.spreadthesign.com/video/mp4/13/153289.mp4
drink,A17720,https://www.signingsavvy.com/signs/mp4/14/14885.mp4
drink,A17721,https://www.signingsavvy.com/signs/mp4/23/23388.mp4
drink,A17722,https://www.signingsavvy.com/signs/mp4/23/23388.mp4
drink,A17723,https://www.signingsavvy.com/signs/mp4/23/23389.mp4
drink,A17724,https://www.signingsavvy.com/signs/mp4/7/7796.mp4
computer,A12328,https://www.signingsavvy.com/signs/mp4/6/6326.mp4
computer,A12312,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4
computer,A12311,https://media.spreadthesign.com/video/mp4/13/51378.mp4
computer,A12338,http://www.aslsearch.com/signs/videos/computer.mp4
computer,A12313,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4
computer,A12314,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4
computer,A12315,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4
computer,A12316,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4
computer,A12317,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4
computer,A12318,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4
computer,A12319,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4
computer,A12320,https://media.asldeafined.com/vocabulary/1466901185.5915.mp4
computer,A12326,https://www.signingsavvy.com/signs/mp4/6/6011.mp4
computer,A12327,https://www.signingsavvy.com/signs/mp4/6/6012.mp4
before,A05728,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before%202-02xxXtC3G8c.mp4
before,A05749,http://www.aslsearch.com/signs/videos/before3.mp4
before,A05750,http://www.aslsearch.com/signs/videos/before.mp4
before,A05729,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-kM8O_piLegw.mp4
before,A05730,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-Se78WI3j-mI.mp4
before,A65167,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BE/BEFORE-37.mp4
before,A05731,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4
before,A05732,https://media.asldeafined.com/vocabulary/1466681314.2550.mp4
before,A05733,https://media.asldeafined.com/vocabulary/1466681379.1244.mp4
before,A05734,https://media.asldeafined.com/vocabulary/1468755772.9751.mp4
before,A05727,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/before.mp4
before,A05739,https://www.signingsavvy.com/signs/mp4/22/22829.mp4
before,A05740,https://www.signingsavvy.com/signs/mp4/22/22831.mp4
before,A05741,https://www.signingsavvy.com/signs/mp4/5/5971.mp4
